,text,cpc,vol,v,competition,score
50,email marketing in digital marketing,1.00,1000,1000,low,0.25
51,email marketing course,1.25,1000,1000,low,0.3125
52,free tools for email marketing,2.76,1000,1000,low,0.69
53,best email marketing tools,3.32,1000,1000,low,0.83
54,email marketing strategies,1.41,880,880,low,0.3525
55,marketing email strategy,1.41,880,880,low,0.3525
56,how to do email marketing,0.92,720,720,low,0.23
57,email marketing pics,0.00,720,720,low,0.0
58,email marketing images,0.00,720,720,low,0.0
59,email marketing pictures,0.00,720,720,low,0.0
60,email campaign marketing,3.51,720,720,low,0.8775
61,marketing email campaign,3.51,720,720,low,0.8775
62,images of email marketing,0.00,720,720,low,0.0
63,email marketing campaign,2.03,720,720,low,0.5075
64,email marketing picture,0.00,720,720,low,0.0
65,images for email marketing,0.00,720,720,low,0.0
66,email marketing pic,0.00,720,720,low,0.0
67,email marketing campaigns,3.51,720,720,low,0.8775
68,images in email marketing,0.00,720,720,low,0.0
69,questions on email,0.00,590,590,low,0.0
70,email advertising,1.31,590,590,low,0.3275
71,email questions,0.00,590,590,low,0.0
72,email marketing kya hai,0.21,590,590,low,0.0525
73,what is email marketing in digital marketing,0.37,590,590,low,0.0925
74,questions about email,0.00,590,590,low,0.0
75,email campaign software,3.29,480,480,low,0.8225
76,strategy for email marketing,0.60,480,480,low,0.15
77,strategies for email marketing,0.60,480,480,low,0.15
78,mailing marketing strategies,0.60,480,480,low,0.15
79,email marketing approach,0.60,480,480,low,0.15
80,email blast strategy,0.60,480,480,low,0.15
81,email blast marketing strategies,0.60,480,480,low,0.15
82,email marketing strategy,0.60,480,480,low,0.15
83,questions for email,0.00,480,480,low,0.0
84,free email templates,0.94,480,480,low,0.235
85,e-mail marketing strategies,0.60,480,480,low,0.15
86,email campaign tools,3.47,390,390,low,0.8675
87,email campaign tool,3.47,390,390,low,0.8675
88,emailing software,3.00,390,390,low,0.75
89,interview questions for email marketing,0.04,390,390,low,0.01
90,email marketing questions interview,0.04,390,390,low,0.01
91,email marketing interview questions,0.04,390,390,low,0.01
92,email marketing in hindi,0.00,320,320,low,0.0
93,email campaign templates,1.34,320,320,low,0.335
94,e mail marketing in hindi,0.00,320,320,low,0.0
95,free email marketing courses,0.21,320,320,low,0.0525
96,email marketing free course,0.21,320,320,low,0.0525
97,email tools,2.28,320,320,low,0.57
98,free email marketing,1.56,320,320,low,0.39
99,email marketing courses free,0.58,260,260,low,0.145
100,email marketing course free,0.58,260,260,low,0.145
101,ईमेल मार्केटिंग क्या है,0.43,260,260,low,0.1075
102,free email marketing template,1.64,260,260,low,0.41
103,best email marketing software,3.11,260,260,low,0.7775
104,email marketing jobs work from home,0.00,260,260,low,0.0
105,work home jobs email marketing,0.00,260,260,low,0.0
106,free email marketing course,0.58,260,260,low,0.145
107,email marketing software free,1.38,210,210,low,0.345
108,what is email campaign,0.00,210,210,low,0.0
109,free email marketing software,1.38,210,210,low,0.345
110,email campaign meaning,12.51,210,210,medium,3.1275
111,what is an email campaign,0.00,210,210,low,0.0
112,best email examples,2.57,210,210,low,0.6425
113,email campaign examples,1.18,210,210,low,0.295
114,email campaigns examples,1.18,210,210,low,0.295
115,campaign email examples,1.18,210,210,low,0.295
116,email questions and answers,0.00,170,170,low,0.0
117,email process interview questions,0.00,140,140,low,0.0
